Irradiance,Specific_humidity,Soil_Value,Soil_Temperature,External_Temperature,Ion_uptake,Daily_growth_rate,Precipitation ,Crop_yield
459,19,55,18,22,225,22,7,45
463,45,78,21,32,592,4,8,63
201,7,41,16,32,234,13,11,10
329,65,29,22,13,516,8,4,19
265,20,38,23,25,512,0,10,15
563,14,57,22,32,123,5,2,70
433,52,9,18,30,665,2,6,26
392,94,47,19,15,624,3,2,88
77,68,18,16,12,499,16,6,8
597,46,93,16,16,227,13,5,23
548,13,98,19,10,406,21,11,53
389,19,33,21,11,274,1,9,43
292,63,49,20,18,489,6,5,4
414,41,58,18,11,408,2,9,35
213,62,54,21,17,457,14,1,15
583,17,21,25,34,694,9,1,84
286,61,83,24,34,107,30,2,86
224,32,10,19,25,663,23,6,58
364,29,82,16,18,228,18,6,43
520,56,75,24,15,546,18,7,27
511,77,85,18,31,463,2,10,32
189,46,77,18,20,675,22,10,23
34,96,71,15,23,686,10,0,55
311,80,66,25,20,306,3,6,30
667,84,3,18,21,647,19,6,5
20,35,89,17,23,161,5,7,40
478,26,61,21,13,502,24,11,33
414,75,32,21,21,576,21,2,58
315,18,11,16,12,589,19,8,41
517,85,7,15,32,527,7,9,31
86,76,72,22,25,240,26,4,11
695,84,39,19,19,418,27,6,22
50,69,50,16,11,485,10,2,3
346,22,41,20,22,383,27,6,95
361,47,85,19,33,229,22,6,53
15,87,21,18,16,294,23,0,13
122,92,57,19,30,110,15,4,18
176,89,50,19,32,172,24,7,57
667,93,90,18,32,561,5,2,93
672,41,3,23,10,688,6,12,84
598,28,58,22,22,240,15,3,5
541,0,93,19,23,218,5,2,8
505,16,48,18,28,627,2,5,93
500,55,39,17,22,414,23,6,37
378,28,58,22,11,276,20,1,29
424,95,10,16,34,448,24,3,92
246,75,17,16,34,691,3,2,21
195,39,50,25,28,134,21,9,47
313,71,9,16,29,413,26,3,87
602,93,31,23,33,105,10,3,93
116,93,32,22,20,360,18,0,6
106,66,52,19,25,197,19,8,59
537,34,33,25,14,455,5,7,50
395,71,36,16,15,578,24,0,11
268,1,53,23,13,201,21,2,80
291,63,87,19,17,255,19,2,5
620,39,72,17,11,227,3,10,27
516,25,6,25,10,366,22,9,73
398,9,14,19,26,662,26,7,95
404,20,93,20,24,120,18,7,15
244,16,39,19,27,193,18,7,23
616,80,4,16,12,639,26,10,16
408,52,68,21,25,585,25,4,4
236,18,61,23,31,544,29,7,41
535,31,24,18,13,276,23,5,30
358,81,22,23,14,591,22,1,38
16,90,27,19,11,230,27,1,72
278,70,96,25,21,630,4,1,94
246,20,36,24,16,296,5,11,15
347,60,53,17,17,265,9,1,61
392,71,67,20,31,633,19,11,78
39,44,58,20,33,428,5,12,4
234,17,33,18,31,344,3,6,93
277,32,11,21,18,685,0,9,66
338,27,90,25,12,645,26,12,12
588,53,99,19,27,344,24,8,41
4,40,49,21,23,369,17,6,71
552,20,17,21,28,274,8,2,16
155,71,96,20,19,657,21,4,42
450,18,18,19,29,284,20,3,10
573,68,74,20,31,112,4,6,44
344,29,62,16,21,122,5,7,82
425,80,57,15,27,104,29,10,60
606,66,62,23,20,155,19,1,56
366,86,23,18,31,598,1,6,89
663,72,25,19,21,232,15,10,12
97,2,50,18,26,589,6,10,42
611,97,38,20,12,265,14,6,88
22,30,100,18,25,398,22,8,11
411,22,83,18,22,520,5,3,12
406,5,49,16,35,133,20,10,55
455,6,5,22,21,119,5,4,62
238,13,97,21,23,103,28,10,41
575,61,48,22,31,140,15,11,79
551,77,53,19,33,522,21,8,39
645,20,64,21,17,674,15,4,70
429,56,8,20,30,349,28,1,96
331,35,96,18,22,573,6,8,96
544,45,66,19,11,335,2,3,40
108,73,58,19,23,677,10,11,9
