Irradiance,Specific_humidity,Soil_Value,Soil_Temperature,External_Temperature,Ion_uptake,Daily_growth_rate,Precipitation,Crop_yield
171,36,60,16,15,561,22,11,63
102,47,34,23,30,318,29,0,7
230,54,37,20,17,229,25,11,98
262,68,14,17,15,471,26,1,71
336,54,63,20,19,537,25,6,25
270,81,63,17,22,221,6,5,50
48,35,48,17,12,205,2,4,51
212,81,15,19,22,149,6,7,29
201,32,23,15,14,476,26,9,23
332,75,17,18,24,568,21,10,74
542,81,86,22,20,644,12,12,95
607,2,15,17,11,377,15,9,86
15,57,38,17,24,500,15,5,55
231,82,36,17,28,188,19,11,30
330,94,86,21,35,591,2,3,22
273,0,99,16,30,151,9,7,24
222,33,90,20,22,181,1,9,85
191,9,34,19,12,508,11,10,53
662,54,3,17,34,206,10,11,7
81,83,62,18,20,218,9,1,67
451,48,82,17,25,674,3,7,80
47,71,46,18,27,285,19,0,75
474,59,60,20,23,116,12,11,28
53,29,10,22,28,280,14,9,27
330,67,26,22,28,220,14,5,65
448,72,50,19,15,608,6,6,15
421,71,44,20,27,211,23,6,27
601,25,46,25,26,293,18,6,75
273,61,86,15,13,268,7,10,50
335,26,30,17,12,643,13,12,68
276,7,90,17,16,279,28,2,71
608,13,50,15,30,453,7,10,5
233,56,92,19,32,217,1,7,59
278,22,98,24,33,576,22,5,76
84,14,74,24,31,130,8,2,14
304,0,54,21,12,419,19,7,54
604,90,90,16,26,195,10,3,8
243,33,28,16,28,199,20,7,98
581,79,10,18,15,481,27,9,30
405,29,16,24,33,197,24,11,6
212,58,26,17,24,202,4,6,24
133,56,82,21,19,230,15,11,36
612,68,3,23,22,297,12,11,78
385,81,55,16,25,368,2,5,99
280,96,89,15,13,436,28,10,58
640,65,91,24,10,478,15,8,37
359,67,14,20,27,410,12,5,74
202,100,63,20,22,577,12,1,28
74,33,92,19,30,347,2,9,59
402,45,23,17,14,432,24,6,69
473,3,48,21,25,600,15,7,10
561,76,21,17,10,164,12,3,64
687,13,23,23,21,542,26,11,44
252,22,25,16,20,344,24,4,84
396,39,77,17,32,208,25,3,68
48,48,53,23,27,656,16,4,24
513,62,15,21,30,520,9,10,73
385,36,64,23,19,336,26,12,27
104,27,3,15,22,236,1,12,9
348,63,30,24,31,428,1,11,58
244,10,86,21,10,584,14,4,57
573,89,61,23,11,241,13,3,35
329,40,32,20,31,510,18,6,45
70,23,4,22,10,161,13,5,26
272,61,90,21,26,617,7,2,93
186,44,52,21,13,541,3,2,63
120,79,48,17,15,114,29,7,10
396,74,57,19,22,108,17,1,67
694,57,49,20,28,548,6,7,29
546,23,12,20,33,408,23,9,99
365,39,62,22,33,449,15,9,38
80,57,0,16,27,357,12,7,31
193,69,34,18,23,384,20,6,39
619,15,64,24,15,328,9,10,72
526,26,20,25,18,662,15,9,18
393,93,30,17,29,496,1,10,98
685,84,74,20,14,591,27,7,72
667,83,86,19,24,497,8,10,97
377,8,35,19,20,240,0,0,31
219,31,13,21,29,106,28,5,58
176,2,5,16,32,580,11,4,88
560,16,41,24,14,651,17,6,41
687,82,45,22,25,531,24,6,62
72,63,32,21,19,556,8,6,28
557,33,66,17,19,474,15,10,67
678,72,19,16,27,364,9,2,99
374,57,86,17,16,112,14,8,23
123,56,52,17,33,422,7,6,69
494,97,15,16,33,301,18,5,4
496,13,38,22,27,160,25,6,4
658,60,93,17,11,639,18,10,88
153,33,49,16,29,567,4,6,3
446,57,98,15,26,256,3,6,4
351,44,77,21,14,169,18,11,73
264,54,45,21,34,115,2,11,48
573,12,56,25,34,379,11,5,18
146,95,16,19,10,410,9,0,63
173,17,29,18,34,445,27,0,10
472,36,8,22,35,153,23,9,10
303,66,14,20,26,611,22,1,29
